pixelx,pixely,pixelz,robotx,roboty,robotz
         207,         341,         557,           0.703757,          -0.139684,           0.034819
         207,         318,         555,           0.683778,          -0.139656,           0.034938
         207,         296,         560,           0.663796,          -0.139623,           0.034914
         207,         274,         560,           0.643756,          -0.139651,           0.034835
         207,         252,         561,           0.623824,          -0.139646,           0.034988
         207,         230,         561,           0.603795,          -0.139659,           0.034912
         207,         208,         561,           0.583795,          -0.139623,           0.034920
         207,         186,         563,           0.563797,          -0.139643,           0.034910
         206,         164,         563,           0.543793,          -0.139631,           0.034885
         206,         142,         564,           0.523803,          -0.139627,           0.034906
         206,         120,         564,           0.503789,          -0.139635,           0.034896
         205,          99,         562,           0.483791,          -0.139658,           0.034896
         205,          76,         562,           0.463783,          -0.139660,           0.034882
         205,          54,         562,           0.443779,          -0.139635,           0.034887
         204,          32,         562,           0.423840,          -0.139649,           0.034926
         183,          33,         567,           0.423784,          -0.159706,           0.035052
         183,          55,         566,           0.443777,          -0.159743,           0.035066
         183,          76,         564,           0.463772,          -0.159713,           0.035027
         184,          98,         564,           0.483807,          -0.159712,           0.035061
         184,         120,         562,           0.503780,          -0.159739,           0.035032
         184,         142,         563,           0.523804,          -0.159675,           0.034998
         184,         164,         561,           0.543780,          -0.159755,           0.035038
         185,         186,         562,           0.563790,          -0.159728,           0.035013
         185,         208,         561,           0.583768,          -0.159769,           0.035015
         185,         230,         559,           0.603791,          -0.159746,           0.035034
         185,         252,         560,           0.623779,          -0.159743,           0.035042
         185,         274,         559,           0.643805,          -0.159725,           0.035058
         185,         296,         558,           0.663788,          -0.159735,           0.034945
         185,         319,         559,           0.683788,          -0.159762,           0.035007
         185,         341,         556,           0.703807,          -0.159750,           0.035085
         185,         364,         555,           0.723792,          -0.159726,           0.035046
         185,         386,         555,           0.743795,          -0.159733,           0.035059
         186,         409,         552,           0.763792,          -0.159721,           0.035040
         163,         410,         556,           0.763781,          -0.179701,           0.035058
         157,         416,         535,           0.763732,          -0.179699,           0.054860
         157,         392,         536,           0.743788,          -0.179614,           0.054987
         157,         368,         538,           0.723783,          -0.179616,           0.054908
         157,         345,         538,           0.703758,          -0.179635,           0.054829
         157,         322,         538,           0.683777,          -0.179603,           0.054893
         157,         299,         537,           0.663832,          -0.179618,           0.054967
         158,         276,         538,           0.643785,          -0.179646,           0.054865
         158,         253,         538,           0.623794,          -0.179610,           0.054903
         157,         230,         539,           0.603794,          -0.179634,           0.054890
         157,         207,         540,           0.583794,          -0.179651,           0.054894
         157,         184,         540,           0.563789,          -0.179634,           0.054889
         157,         162,         543,           0.543777,          -0.179613,           0.054881
         156,         139,         543,           0.523774,          -0.179621,           0.054907
         156,         116,         545,           0.503797,          -0.179661,           0.054896
         156,          93,         545,           0.483815,          -0.179635,           0.054886
         156,          70,         547,           0.463815,          -0.179637,           0.054972
         155,          48,         551,           0.443775,          -0.179634,           0.054888
         155,          25,         549,           0.423807,          -0.179648,           0.054898
         177,          25,         548,           0.423769,          -0.159719,           0.055017
         178,          47,         545,           0.443775,          -0.159722,           0.055025
         178,          70,         544,           0.463794,          -0.159726,           0.055043
         178,          93,         545,           0.483790,          -0.159715,           0.055021
         179,         115,         545,           0.503768,          -0.159746,           0.054997
         179,         138,         543,           0.523802,          -0.159698,           0.055029
         179,         161,         540,           0.543780,          -0.159745,           0.055011
         179,         184,         541,           0.563765,          -0.159757,           0.054968
         180,         207,         540,           0.583800,          -0.159706,           0.055055
         180,         229,         539,           0.603753,          -0.159753,           0.055031
         180,         252,         540,           0.623763,          -0.159736,           0.054991
         180,         275,         538,           0.643794,          -0.159747,           0.055074
         180,         298,         536,           0.663795,          -0.159744,           0.055087
         180,         322,         537,           0.683783,          -0.159779,           0.055008
         180,         345,         536,           0.703781,          -0.159746,           0.055035
         180,         368,         536,           0.723785,          -0.159749,           0.055027
         180,         391,         535,           0.743788,          -0.159763,           0.055054
         203,         391,         535,           0.743804,          -0.139626,           0.054943
         203,         368,         535,           0.723798,          -0.139645,           0.054954
         203,         344,         536,           0.703787,          -0.139663,           0.054924
         203,         321,         536,           0.683754,          -0.139680,           0.054913
         203,         298,         537,           0.663768,          -0.139690,           0.054865
         203,         275,         538,           0.643795,          -0.139712,           0.054940
         203,         252,         540,           0.623822,          -0.139620,           0.054944
         203,         229,         539,           0.603791,          -0.139666,           0.054929
         202,         206,         539,           0.583788,          -0.139647,           0.054870
         202,         184,         541,           0.563782,          -0.139643,           0.054934
         202,         161,         540,           0.543797,          -0.139635,           0.054924
         202,         138,         543,           0.523808,          -0.139613,           0.054924
         201,         115,         544,           0.503790,          -0.139641,           0.054920
         201,          93,         543,           0.483769,          -0.139642,           0.054860
         201,          70,         543,           0.463779,          -0.139647,           0.054900
         200,          47,         548,           0.443791,          -0.139645,           0.054866
         200,          24,         544,           0.423809,          -0.139619,           0.054905
         222,          24,         543,           0.423764,          -0.119729,           0.054991
         223,          47,         544,           0.443790,          -0.119696,           0.055004
         223,          70,         540,           0.463773,          -0.119714,           0.055016
         224,          92,         543,           0.483803,          -0.119715,           0.055027
         224,         115,         541,           0.503781,          -0.119699,           0.054991
         224,         138,         541,           0.523785,          -0.119708,           0.055019
         225,         161,         543,           0.543787,          -0.119691,           0.054996
         225,         183,         541,           0.563799,          -0.119727,           0.055020
         225,         206,         543,           0.583770,          -0.119701,           0.054950
         225,         229,         540,           0.603791,          -0.119708,           0.055016
