a,b,c,d,e,f
         436.000000,         221.000000,         418.000000,           0.603609,           0.041699,           0.172355
         435.000000,         192.000000,         420.000000,           0.583601,           0.041609,           0.172274
         434.000000,         163.000000,         420.000000,           0.563583,           0.041540,           0.172204
         434.000000,         133.000000,         421.000000,           0.543587,           0.041489,           0.172171
         433.000000,         104.000000,         422.000000,           0.523572,           0.041441,           0.172049
         432.000000,          75.000000,         422.000000,           0.503575,           0.041394,           0.172034
         432.000000,          46.000000,         424.000000,           0.483599,           0.041384,           0.172040
         461.000000,          45.000000,         423.000000,           0.483542,           0.061267,           0.172017
         461.000000,          74.000000,         422.000000,           0.503537,           0.061318,           0.171988
         462.000000,         104.000000,         421.000000,           0.523566,           0.061333,           0.172091
         463.000000,         133.000000,         421.000000,           0.543582,           0.061402,           0.172168
         464.000000,         162.000000,         421.000000,           0.563609,           0.061471,           0.172257
         464.000000,         191.000000,         419.000000,           0.583631,           0.061510,           0.172277
         465.000000,         220.000000,         420.000000,           0.603663,           0.061547,           0.172337
         466.000000,         250.000000,         418.000000,           0.623681,           0.061578,           0.172409
